sampno,perno,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner
4260,1,,2,2,-1,6,1,0,2,1,1,-1,5,60,6,2,4,-1,-1,0
4260,2,,1,2,-1,8,1,0,1,1,1,-1,15,150,5,2,4,-1,-1,0
4261,1,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4261,2,,1,6,-1,5,1,0,1,1,1,-1,15,150,5,2,3,-1,-1,0
4263,1,,1,6,-1,8,1,0,1,1,1,-1,100,500,5,3,4,-1,-1,0
4263,2,,2,6,-1,8,4,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4264,1,,2,6,-1,8,3,6,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4264,2,,1,6,-1,5,2,6,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4265,1,,1,6,-1,8,1,0,1,1,1,-1,13,130,5,3,4,-1,-1,0
4265,2,,2,6,-1,4,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4265,3,,1,6,-1,2,4,0,1,1,1,-1,20,200,5,3,4,-1,-1,0
4265,4,,1,6,-1,1,1,0,1,1,1,-1,20,200,5,3,4,-1,-1,0
4267,1,,1,6,-1,8,1,0,1,1,1,-1,3,260,5,2,4,-1,-1,0
4268,1,,2,2,-1,6,1,0,1,1,1,-1,8,64,4,2,4,-1,-1,0
4270,1,,2,6,-1,6,1,0,1,1,1,-1,7,250,5,2,4,-1,-1,0
4274,1,,1,2,-1,3,1,0,1,1,1,-1,16,160,5,1,4,-1,-1,0
4274,2,,2,2,-1,4,1,0,2,1,1,-1,8,80,5,1,4,-1,-1,0
4275,1,,1,1,-1,6,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4275,2,,2,6,-1,6,2,0,2,1,1,-1,4,0,3,2,4,-1,-1,0
4276,1,,2,4,-1,8,1,0,1,1,1,-1,11,110,5,2,4,-1,-1,0
4276,2,,2,2,-1,2,1,0,1,1,6,-1,26,240,5,2,4,-1,-1,0
4279,1,,2,2,-1,6,1,0,1,1,1,-1,12,125,5,2,4,-1,-1,0
4282,1,,2,2,-1,6,1,5,1,1,1,-1,6,60,5,2,4,-1,-1,0
4282,2,,1,2,-1,6,1,5,1,1,1,-1,15,150,5,2,4,-1,-1,0
4282,3,,1,2,-1,4,3,5,2,2,-1,-1,-1,-1,-1,-1,2,4,5,0
4285,1,,2,2,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4285,2,,1,2,-1,6,1,10,1,1,4,-1,15,0,5,3,4,-1,-1,0
4286,1,,2,8,-1,4,1,0,1,1,1,-1,25,260,5,2,3,-1,-1,0
4287,1,,2,6,-1,6,1,0,2,1,8,Personal car with children,12,75,3,2,4,-1,-1,0
4287,2,,1,6,-1,4,1,0,1,1,1,-1,30,300,5,2,4,-1,-1,0
4288,1,,2,4,-1,7,1,0,1,1,2,-1,20,200,4,2,3,-1,-1,0
4288,2,,1,3,-1,4,2,4,1,1,2,-1,20,200,3,2,2,1,8,0
4289,1,,2,6,-1,8,1,14,5,1,1,-1,10,150,5,2,4,-1,-1,0
4289,2,,1,6,-1,8,1,0,2,1,1,-1,20,40,1,2,4,-1,-1,0
4290,1,,2,6,-1,8,2,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4290,2,,1,6,-1,8,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4291,1,,1,6,-1,4,1,0,5,2,-1,-1,-1,-1,-1,-1,2,1,5,0
4291,2,,1,6,-1,2,1,0,5,1,1,-1,20,1000,6,3,4,-1,-1,0
4291,3,,2,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,2,1,7,0
4291,4,,2,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,2,2,5,0
4292,1,,1,4,-1,6,2,0,2,1,1,-1,3,4,4,2,4,-1,-1,0
4292,2,,2,4,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4292,3,,1,4,-1,2,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4293,1,,2,6,-1,6,4,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4293,2,,2,4,-1,8,1,7,1,1,1,-1,20,150,5,2,4,-1,-1,0
4294,1,,3,4,-1,5,1,0,1,1,1,-1,100,1000,5,1,4,-1,-1,0
4295,1,,2,6,-1,6,1,0,1,1,5,-1,1,5,5,3,4,-1,-1,0
4295,2,,1,6,-1,5,1,0,5,1,1,-1,100,400,4,2,4,-1,-1,0
4298,1,,1,6,-1,6,1,0,1,1,1,-1,50,500,5,2,4,-1,-1,0
4298,2,,2,6,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4300,1,,2,6,-1,4,1,0,2,1,1,-1,5,100,4,2,4,-1,-1,0
4300,2,,1,6,-1,6,1,0,2,1,1,-1,15,100,4,2,4,-1,-1,0
4300,3,,1,6,-1,2,4,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4300,4,,2,6,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4302,1,,1,6,-1,4,1,0,1,1,1,-1,5,50,5,1,4,-1,-1,0
4302,2,,1,6,-1,2,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4302,3,,1,6,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4302,4,,2,6,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4303,1,,1,8,-1,8,1,1,5,1,1,-1,2,10,3,2,4,-1,-1,0
4303,2,,2,8,-1,8,1,1,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4303,3,,2,8,-1,4,2,0,2,1,1,-1,15,100,3,2,1,1,4,0
4307,1,,2,2,-1,8,1,0,5,1,1,-1,8,100,5,2,4,-1,-1,0
